Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Tuesday Apr 17,boxscore,STL,,PIT,W,7,1,,1-0,1,Tied,Dean,Meine,,,D,,+,
2,Wednesday Apr 18,boxscore,STL,,PIT,L,6,7,,1-1,3,1.0,French,Grimes,Chagnon,,D,,-,
3,Thursday Apr 19,boxscore,STL,,PIT,L,4,14,,1-2,6,2.0,Birkofer,Hallahan,,2:35,D,,--,
4,Saturday Apr 21,boxscore,STL,,CHC,L,1,2,,1-3,5,3.5,Root,Carleton,,,D,,---,
5,Sunday Apr 22,boxscore,STL,,CHC,L,2,15,,1-4,6,4.0,Warneke,Dean,,2:30,D,,----,
6,Tuesday Apr 24,boxscore,STL,@,PIT,L,4,5,,1-5,6,5.0,Chagnon,Haines,,2:25,D,15000,-----,
7,Thursday Apr 26,boxscore,STL,@,PIT,W,10,1,,2-5,6,4.5,Hallahan,Birkofer,,2:08,D,,+,
8,Friday Apr 27,boxscore,STL,@,CHC,L,2,3,11,2-6,6,5.5,Warneke,Carleton,,,D,23000,-,
9,Saturday Apr 28,boxscore,STL,@,CHC,L,1,7,,2-7,7,6.5,Bush,Dean,,,D,,--,
10,Sunday Apr 29,boxscore,STL,@,CHC,W,9,4,,3-7,6,5.5,Walker,Malone,,2:06,D,30000,+,
11,Monday Apr 30,boxscore,STL,,CIN,W,10,6,,4-7,6,5.5,Grimes,Stout,Rhem,2:29,D,,++,
12,Tuesday May 1,boxscore,STL,,CIN,W,3,2,11,5-7,5,4.5,Grimes,Johnson,,2:57,D,,+++,
13,Wednesday May 2,boxscore,STL,,CIN,W,4,1,,6-7,5,4.0,Carleton,Frey,Dean,1:42,D,,++++,
14,Thursday May 3,boxscore,STL,,PHI,W,8,7,,7-7,5,4.0,Dean,Collins,Haines,2:22,D,1800,+++++,
15,Friday May 4,boxscore,STL,,PHI,W,3,1,,8-7,4,3.0,Walker,Davis,,,D,,++++++,
16,Saturday May 5,boxscore,STL,,PHI,W,7,1,,9-7,4,2.0,Dean,Moore,,1:52,D,,+++++++,
17,Sunday May 6,boxscore,STL,,BSN,L,2,3,,9-8,5,3.0,Frankhouse,Hallahan,Brandt,2:24,D,10000,-,
18,Monday May 7,boxscore,STL,,BSN,W,10,5,,10-8,4,3.0,Carleton,Brown,,,D,,+,
19,Tuesday May 8,boxscore,STL,,BSN,W,5,4,,11-8,4,2.0,Haines,Cantwell,,,D,,++,
20,Wednesday May 9,boxscore,STL,,NYG,W,4,0,,12-8,4,1.5,Dean,Salveson,,1:39,D,,+++,
21,Thursday May 10,boxscore,STL,,NYG,W,5,4,,13-8,2,1.5,Mooney,Schumacher,,2:01,D,,++++,
22,Friday May 11,boxscore,STL,,NYG,W,3,2,10,14-8,2,0.5,Dean,Hubbell,,2:17,D,,+++++,
23,Saturday May 12,boxscore,STL,,NYG,L,4,6,,14-9,3,1.5,Smith,Carleton,Bowman,2:34,D,,-,
24,Sunday May 13,boxscore,STL,,BRO,W,12,7,,15-9,3,1.5,Dean,Leonard,,2:08,D,7500,+,
25,Tuesday May 15,boxscore,STL,,BRO,L,5,6,,15-10,3,2.0,Lucas,Mooney,Carroll,,D,,-,
26,Thursday May 17,boxscore,STL,@,BSN,W,5,3,,16-10,3,2.0,Dean,Betts,,1:45,D,,+,
27,Friday May 18,boxscore,STL,@,BSN,L,2,6,,16-11,3,3.0,Frankhouse,Winford,Cantwell,2:06,D,,-,
28,Saturday May 19,boxscore,STL,@,BSN,W,2,1,,17-11,3,2.0,Carleton,Brandt,,1:56,D,,+,
29,Sunday May 20,boxscore,STL,@,NYG,W,9,5,,18-11,2,1.0,Dean,Hubbell,,2:08,D,40000,++,
30,Monday May 21,boxscore,STL,@,NYG,L,2,5,,18-12,3,2.0,Bowman,Hallahan,,,D,,-,
